Family ID	mouse<22>	<21>	baboon<16>	marmoset<18>	cat<0>	gibbon<12>	chimp<6>	<11>	orang<10>	horse<2>	<13>	macaque<14>	<17>	human<8>	<15>	<9>	cow<4>	<3>	<1>	<7>	<5>	rat<20>
105	22	20	14	9	10	10	14	11	10	16	11	14	11	12	14	11	14	13	13	12	13	19
106	13	14	14	14	14	14	14	14	14	14	14	14	14	12	14	14	13	14	14	14	14	14
107	15	14	13	14	14	13	14	13	14	14	13	11	13	13	13	13	15	14	14	13	14	14
108	13	13	16	16	13	13	13	14	18	13	14	13	14	9	14	14	13	13	13	13	13	13
109	16	16	14	17	6	11	13	11	10	16	13	14	14	10	14	11	19	14	14	11	14	17
110	16	16	14	10	17	12	9	12	11	14	12	17	12	12	14	12	14	14	14	12	14	16
111	15	14	12	12	17	13	12	13	13	13	13	14	13	15	13	13	13	14	14	13	14	13
112	90	55	0	3	6	0	3	2	3	6	2	1	3	0	1	2	2	6	6	2	7	48
113	11	10	10	25	7	14	18	15	25	2	15	12	16	14	12	16	13	9	9	16	10	10
114	13	13	14	14	13	13	11	13	13	12	13	14	13	14	14	13	12	13	13	13	13	14
115	10	11	11	12	17	13	12	12	11	17	12	13	12	15	12	12	12	14	14	12	13	12
116	14	14	13	13	13	12	10	13	13	10	13	13	13	13	13	13	14	13	13	13	13	15
117	11	11	10	12	16	11	10	12	12	11	12	8	12	27	10	12	13	13	13	12	13	11
118	10	12	13	12	13	13	11	13	14	13	13	12	13	15	13	13	13	13	13	13	13	13
119	13	13	6	4	12	14	12	14	15	13	13	15	11	15	12	14	21	14	14	14	13	12
120	12	12	14	16	13	12	12	12	12	13	13	12	14	10	13	12	13	13	13	12	13	12
121	8	8	7	8	10	6	7	7	6	15	7	9	8	8	7	7	56	15	15	7	12	8
122	11	12	12	12	15	13	12	12	12	11	12	12	12	12	12	12	14	13	13	12	13	12
123	13	13	12	13	12	12	10	12	12	12	12	14	12	12	12	12	12	12	12	12	12	13
124	12	13	13	10	14	13	12	12	12	14	12	10	12	9	12	12	14	13	13	12	13	14
125	66	42	4	4	3	4	4	4	5	5	4	4	4	5	4	4	5	5	5	4	6	38
126	10	12	10	13	12	9	10	10	12	13	10	10	11	10	10	10	24	14	14	10	13	13
127	12	12	12	12	12	11	12	12	12	12	12	13	12	12	12	12	12	12	12	12	12	13
128	13	13	10	12	14	10	10	11	12	13	11	14	11	12	11	11	13	13	13	11	13	12
130	14	14	11	12	10	12	13	12	12	9	12	12	12	11	12	12	11	11	11	12	11	16
131	17	17	11	9	10	11	11	11	10	10	11	13	11	13	11	11	10	11	11	11	11	18
132	7	8	20	9	4	12	16	14	15	10	14	12	11	23	15	15	5	7	7	16	8	9
133	19	21	4	12	11	5	5	7	7	19	7	5	10	8	5	7	15	14	14	7	14	26
134	8	10	9	19	10	11	10	10	10	14	11	14	12	9	11	10	10	11	11	10	11	11
135	17	14	10	8	13	10	7	10	9	11	10	11	10	17	10	10	10	11	11	10	11	12
136	4	15	12	24	8	4	4	6	6	6	10	16	12	4	12	6	9	9	9	4	10	37
137	22	20	8	9	14	7	8	8	11	8	8	9	8	8	8	8	8	10	10	8	10	21
138	11	11	11	10	11	11	10	11	11	10	11	11	11	14	11	11	11	11	11	11	11	11
139	10	14	9	19	15	4	4	7	9	11	9	9	13	4	9	7	17	14	14	4	14	18
140	10	11	11	10	11	9	10	10	12	12	10	10	10	9	10	10	11	11	11	10	11	11
141	12	11	11	9	11	9	11	10	10	8	10	10	10	11	10	10	13	10	10	11	10	11
142	7	15	12	30	23	2	3	3	3	4	8	7	12	2	8	3	4	10	10	3	11	29
143	11	11	10	12	12	10	10	10	10	10	10	10	11	9	10	10	12	11	11	10	11	10
144	0	0	21	4	0	7	17	15	24	0	15	18	6	32	18	19	0	0	0	20	1	0
145	10	10	10	10	11	10	11	10	10	11	10	8	10	12	10	10	10	10	10	11	10	10
146	19	17	8	8	8	8	9	8	9	11	8	7	8	8	8	8	10	10	10	8	10	17
147	8	10	9	10	13	8	6	10	11	11	10	12	10	14	10	10	8	10	10	10	10	11
148	12	11	10	11	9	9	10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10
149	10	10	10	10	10	10	10	10	9	10	10	9	10	11	10	10	10	10	10	10	10	10
150	2	14	3	26	12	4	2	5	8	8	7	11	11	1	7	5	7	10	10	2	10	35
151	9	10	10	9	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11
152	9	10	10	9	12	9	11	10	10	9	10	9	10	11	10	10	9	10	10	11	10	10
153	11	10	10	9	10	10	9	9	9	10	9	9	9	10	9	9	11	10	10	9	10	10
154	10	10	11	10	10	11	8	10	11	10	10	9	10	11	10	10	8	10	10	10	10	9
155	23	20	9	2	2	0	1	5	5	16	5	6	5	8	6	5	24	12	12	5	12	19
156	10	11	9	9	10	9	9	9	9	10	9	10	9	7	9	9	10	10	10	9	10	12
157	8	9	9	11	9	10	7	10	10	10	10	12	10	9	10	10	9	9	9	9	9	9
158	9	10	10	10	8	9	9	9	8	7	9	11	9	12	10	9	9	9	9	9	9	11
159	4	5	9	5	9	10	11	10	14	16	9	8	8	12	9	11	9	10	10	11	9	5
160	9	10	9	12	9	8	8	8	8	9	9	11	10	8	9	8	10	10	10	8	10	11
161	11	11	9	9	10	7	9	9	9	9	9	9	9	9	9	9	10	10	10	9	10	11
162	4	4	8	6	4	7	6	8	10	8	8	8	7	38	8	9	8	6	6	10	6	4
163	6	5	7	2	5	1	2	7	11	17	7	8	7	32	7	8	17	10	10	8	9	3
164	6	8	8	10	9	10	10	10	9	8	10	11	10	12	10	10	9	9	9	10	9	9
165	15	12	8	8	9	9	6	9	9	11	9	7	9	9	8	9	8	9	9	9	9	11
166	8	8	13	9	6	10	11	10	11	8	10	9	9	10	10	10	8	8	8	10	8	7
167	3	6	9	12	20	6	6	8	9	9	9	12	10	4	10	8	11	11	11	6	10	8
168	8	8	9	8	10	10	8	9	9	10	9	9	9	9	9	9	10	9	9	9	9	8
169	11	10	9	8	10	9	9	9	10	8	9	8	9	8	9	9	8	9	9	9	9	9
170	10	9	8	8	6	8	7	8	8	8	8	8	8	10	8	8	17	9	9	8	9	9
171	10	9	9	9	9	9	8	9	9	9	9	8	9	8	9	9	9	9	9	8	9	9
172	5	8	20	25	12	1	2	5	8	3	10	11	12	1	12	5	8	9	9	2	9	10
173	10	9	9	9	9	9	8	9	9	9	9	8	9	8	9	9	9	9	9	8	9	9
174	7	8	11	10	9	8	6	9	12	7	9	13	9	6	11	9	9	8	8	6	8	8
175	10	10	9	9	7	9	10	9	9	7	9	8	9	10	9	9	7	8	8	10	8	10
176	8	9	9	10	9	9	9	9	10	9	9	7	9	7	9	9	8	9	9	9	9	9
177	9	9	8	9	8	8	7	8	7	9	8	10	8	9	8	8	9	9	9	8	9	10
178	6	9	12	28	9	7	0	7	8	1	11	17	13	1	13	7	1	6	6	1	8	13
179	8	8	9	9	8	5	8	8	7	8	8	9	8	15	9	8	9	8	8	8	8	8
180	5	6	5	7	4	4	19	7	6	5	7	11	7	11	7	7	18	7	7	11	7	7
181	8	8	7	8	14	9	7	8	8	9	8	8	8	9	8	8	7	9	9	8	9	8
182	8	10	8	8	10	8	8	8	8	9	8	7	8	5	8	8	10	9	9	8	9	12
183	9	8	8	8	7	8	9	9	9	7	9	9	9	9	9	9	9	8	8	9	8	8
184	9	8	8	7	9	9	9	9	9	9	8	7	8	8	8	9	8	8	8	9	8	8
185	8	8	8	7	9	7	9	8	8	9	8	7	8	9	8	8	11	9	9	9	9	8
186	10	11	9	7	6	8	8	8	7	5	8	5	8	8	8	8	14	8	8	8	8	13
187	7	6	7	3	5	8	7	8	3	5	8	17	6	28	9	8	3	5	5	9	5	6
188	8	8	8	7	9	9	8	8	8	10	8	8	8	8	8	8	8	9	9	8	9	8
189	8	8	6	17	5	5	6	7	11	5	8	15	9	6	8	7	6	6	6	6	7	9
190	17	10	4	4	2	6	13	7	7	2	7	9	6	21	7	7	7	5	5	13	6	7
191	7	7	6	6	11	5	5	5	6	18	5	4	6	5	5	5	19	13	13	5	10	6
192	8	8	8	11	8	9	7	8	8	8	8	8	8	7	8	8	7	8	8	7	8	9
193	8	8	8	8	8	8	8	8	9	8	8	7	8	10	8	8	8	8	8	8	8	8
194	9	8	8	8	8	9	8	8	8	8	8	8	8	9	8	8	8	8	8	8	8	7
195	9	9	8	8	9	6	7	8	8	9	8	8	8	8	8	8	8	9	9	8	9	9
196	1	1	10	9	1	2	11	10	22	2	10	11	9	25	10	14	2	2	2	14	2	1
197	7	8	8	10	8	7	8	8	10	7	8	10	8	7	8	8	7	8	8	8	8	8
198	2	2	6	10	5	13	11	12	17	3	10	9	9	12	9	12	7	5	5	12	5	1
199	8	8	8	10	7	7	7	8	8	11	8	9	8	6	8	8	8	8	8	7	8	7
200	8	8	8	9	9	9	9	8	8	5	8	6	8	8	8	8	8	8	8	8	8	8
201	8	8	8	8	8	8	7	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8
202	4	9	12	21	13	2	1	3	3	3	9	15	10	2	12	3	1	7	7	2	8	17
203	6	7	8	8	10	9	8	8	8	8	8	7	8	6	8	8	8	8	8	8	8	8
204	7	7	7	7	7	10	8	8	9	9	8	8	8	8	8	8	7	8	8	8	8	7
205	6	7	7	8	9	6	6	7	6	7	7	7	7	16	7	7	8	8	8	7	8	7
206	8	8	7	9	8	8	8	8	8	7	8	8	8	7	8	8	7	8	8	8	8	8
207	9	9	7	8	6	6	6	7	9	6	7	11	7	7	8	7	8	7	7	7	7	9
208	8	8	8	8	7	8	8	8	8	8	8	7	8	6	8	8	8	8	8	8	8	8
209	12	9	5	7	8	4	7	7	7	4	7	7	7	7	7	7	16	8	8	7	8	8
210	7	7	8	10	9	8	7	8	7	7	8	9	8	6	8	7	7	8	8	7	8	7
211	2	4	12	11	1	8	13	10	10	5	10	13	10	9	12	10	4	4	4	10	5	4
212	8	8	8	7	8	8	6	8	8	8	8	6	8	8	8	8	8	8	8	8	8	8
213	11	11	8	7	5	7	8	7	7	6	7	9	7	8	8	7	4	6	6	8	7	11
214	6	7	8	7	8	8	8	8	7	7	8	8	8	8	8	8	8	8	8	8	8	7
215	7	7	6	11	9	7	6	7	6	8	7	9	8	7	7	7	7	8	8	7	8	7
216	0	0	0	1	0	2	3	2	3	78	2	2	2	1	2	2	0	2	2	2	2	0
217	7	7	7	28	4	4	5	6	6	5	7	8	9	4	7	6	5	5	5	5	6	7
218	5	6	9	7	6	7	6	7	6	7	7	11	7	12	9	7	7	7	7	7	7	7
219	8	7	6	9	11	5	5	7	8	4	7	8	8	9	7	7	10	8	8	7	8	6
220	8	8	7	7	7	7	7	7	7	7	7	6	7	10	7	7	7	7	7	7	7	8
221	7	7	7	8	8	7	7	7	7	7	7	7	7	9	7	7	7	7	7	7	7	7
222	1	1	15	25	15	1	2	6	12	6	8	8	10	1	9	6	1	7	7	2	7	1
223	8	8	7	8	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	9
224	7	7	7	7	8	7	7	7	8	6	7	8	7	7	7	7	7	7	7	7	7	8
225	6	7	7	6	9	7	7	7	9	7	7	7	7	9	7	7	6	7	7	7	7	7
226	9	10	6	6	8	6	6	6	6	8	6	7	6	7	6	6	7	7	7	6	7	11
227	9	8	7	7	8	7	6	7	8	7	7	7	7	6	7	7	7	7	7	6	7	7
228	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	8
229	6	7	6	7	7	6	8	7	8	7	7	5	7	7	6	7	12	8	8	7	8	7
230	7	7	7	7	8	6	7	7	8	8	7	6	7	7	7	7	8	8	8	7	8	7
231	19	16	7	4	4	4	7	6	6	3	6	4	6	7	6	6	5	5	5	7	6	16
232	7	7	7	7	8	6	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7
233	5	6	7	9	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7
234	3	4	5	6	6	5	6	6	7	6	6	6	6	22	6	7	7	6	6	7	6	5
235	7	7	7	7	7	7	6	7	6	7	7	8	7	8	7	7	7	7	7	7	7	7
236	8	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7
237	8	7	7	9	7	7	6	7	7	7	7	7	7	5	7	7	8	7	7	6	7	6
238	10	8	8	6	5	7	8	7	6	7	7	5	7	8	7	7	7	7	7	8	7	7
239	7	7	6	7	7	8	8	7	7	8	7	7	7	5	7	7	7	7	7	7	7	7
240	1	8	5	22	8	2	2	5	8	1	7	11	9	1	7	5	4	6	6	2	7	19
241	6	7	7	7	7	7	7	7	7	7	7	8	7	6	7	7	7	7	7	7	7	7
